date,symbol,price
2014-02-01,NFLX,57.78
2014-03-01,NFLX,63.66
2014-04-01,NFLX,52.1
2014-05-01,NFLX,48.06
2014-06-01,NFLX,60.28
2014-07-01,NFLX,67.56
2014-08-01,NFLX,60.78
2014-09-01,NFLX,68.06
2014-10-01,NFLX,62.7
2014-11-01,NFLX,55.5
2014-12-01,NFLX,48.84
2015-01-01,NFLX,49.84
2015-02-01,NFLX,63.0
2015-03-01,NFLX,68.6
2015-04-01,NFLX,59.03
2015-05-01,NFLX,79.56
2015-06-01,NFLX,89.0
2015-07-01,NFLX,93.6
2015-08-01,NFLX,112.56
2015-09-01,NFLX,105.8
2015-10-01,NFLX,106.0
2015-11-01,NFLX,107.6
2015-12-01,NFLX,125.4
2016-01-01,NFLX,109.94
2016-02-01,NFLX,94.06
2016-03-01,NFLX,98.3
2016-04-01,NFLX,105.7
2016-05-01,NFLX,93.1
2016-06-01,NFLX,101.5
2016-07-01,NFLX,96.7
2016-08-01,NFLX,94.4
2016-09-01,NFLX,97.4
2016-10-01,NFLX,102.6
2016-11-01,NFLX,123.3
2016-12-01,NFLX,117.25
2017-01-01,NFLX,127.5
2017-02-01,NFLX,140.8
2017-03-01,NFLX,142.6
2017-04-01,NFLX,146.9
2017-05-01,NFLX,155.4
2017-06-01,NFLX,163.0
2017-07-01,NFLX,146.1
2017-08-01,NFLX,182.0
2017-09-01,NFLX,174.8
2017-10-01,NFLX,177.0
2017-11-01,NFLX,198.0
2017-12-01,NFLX,186.9
2018-01-01,NFLX,201.1
2018-02-01,NFLX,265.0
2018-03-01,NFLX,290.5
2018-04-01,NFLX,280.2
2018-05-01,NFLX,313.2
2018-06-01,NFLX,360.0
2018-07-01,NFLX,398.2
2018-08-01,NFLX,338.5
2018-09-01,NFLX,363.5
2018-10-01,NFLX,381.5
2018-11-01,NFLX,317.5
2018-12-01,NFLX,290.2
2019-01-01,NFLX,267.8
2019-02-01,NFLX,339.8
2019-03-01,NFLX,357.2
2019-04-01,NFLX,367.0
2019-05-01,NFLX,378.8
2019-06-01,NFLX,336.8
2019-07-01,NFLX,374.5
2019-08-01,NFLX,319.5
2019-09-01,NFLX,289.2
2019-10-01,NFLX,269.5
2019-11-01,NFLX,286.8
2019-12-01,NFLX,310.0
2020-01-01,NFLX,329.8
2020-02-01,NFLX,358.0
2020-03-01,NFLX,381.0
2020-04-01,NFLX,364.0
2020-05-01,NFLX,415.2
2020-06-01,NFLX,426.0
2020-07-01,NFLX,485.8
2020-08-01,NFLX,498.5
2020-09-01,NFLX,556.5
2020-10-01,NFLX,527.5
2020-11-01,NFLX,484.0
2020-12-01,NFLX,504.5
2021-01-01,NFLX,523.0
2021-02-01,NFLX,539.0
2021-03-01,NFLX,550.5
2021-04-01,NFLX,539.5
2021-05-01,NFLX,509.0
2021-06-01,NFLX,499.0
2021-07-01,NFLX,533.5
2021-08-01,NFLX,515.0
2021-09-01,NFLX,582.0
2021-10-01,NFLX,613.0
2010-06-01,TSLA,4.777
2010-07-01,TSLA,4.39
2010-08-01,TSLA,4.184
2010-09-01,TSLA,4.09
2010-10-01,TSLA,4.12
2010-11-01,TSLA,4.28
2010-12-01,TSLA,6.87
2011-01-01,TSLA,5.324
2011-02-01,TSLA,4.78
2011-03-01,TSLA,4.79
2011-04-01,TSLA,5.332
2011-05-01,TSLA,5.49
2011-06-01,TSLA,5.703
2011-07-01,TSLA,5.805
2011-08-01,TSLA,5.754
2011-09-01,TSLA,4.8
2011-10-01,TSLA,4.746
2011-11-01,TSLA,5.777
2011-12-01,TSLA,6.52
2012-01-01,TSLA,5.617
2012-02-01,TSLA,5.914
2012-03-01,TSLA,6.883
2012-04-01,TSLA,7.316
2012-05-01,TSLA,6.758
2012-06-01,TSLA,5.63
2012-07-01,TSLA,6.08
2012-08-01,TSLA,5.25
2012-09-01,TSLA,5.63
2012-10-01,TSLA,5.832
2012-11-01,TSLA,5.85
2012-12-01,TSLA,6.926
2013-01-01,TSLA,7.07
2013-02-01,TSLA,7.66
2013-03-01,TSLA,6.93
2013-04-01,TSLA,8.79
2013-05-01,TSLA,10.66
2013-06-01,TSLA,18.52
2013-07-01,TSLA,23.44
2013-08-01,TSLA,27.11
2013-09-01,TSLA,33.78
2013-10-01,TSLA,38.6
2013-11-01,TSLA,32.44
2013-12-01,TSLA,24.83
2014-01-01,TSLA,30.02
2014-02-01,TSLA,35.44
2014-03-01,TSLA,50.12
2014-04-01,TSLA,43.4
2014-05-01,TSLA,41.53
2014-06-01,TSLA,40.94
2014-07-01,TSLA,47.94
2014-08-01,TSLA,46.66
2014-09-01,TSLA,56.8
2014-10-01,TSLA,48.06
2014-11-01,TSLA,48.53
2014-12-01,TSLA,46.3
2015-01-01,TSLA,43.88
2015-02-01,TSLA,42.2
2015-03-01,TSLA,39.47
2015-04-01,TSLA,37.53
2015-05-01,TSLA,45.22
2015-06-01,TSLA,49.88
2015-07-01,TSLA,53.84
2015-08-01,TSLA,52.0
2015-09-01,TSLA,47.72
2015-10-01,TSLA,47.97
2015-11-01,TSLA,42.75
2015-12-01,TSLA,47.44
2016-01-01,TSLA,44.7
2016-02-01,TSLA,39.38
2016-03-01,TSLA,37.28
2016-04-01,TSLA,47.53
2016-05-01,TSLA,48.38
2016-06-01,TSLA,43.9
2016-07-01,TSLA,43.3
2016-08-01,TSLA,46.0
2016-09-01,TSLA,40.16
2016-10-01,TSLA,42.75
2016-11-01,TSLA,38.16
2016-12-01,TSLA,36.38
2017-01-01,TSLA,43.4
2017-02-01,TSLA,49.84
2017-03-01,TSLA,50.0
2017-04-01,TSLA,59.72
2017-05-01,TSLA,64.56
2017-06-01,TSLA,68.06
2017-07-01,TSLA,70.5
2017-08-01,TSLA,63.9
2017-09-01,TSLA,71.06
2017-10-01,TSLA,68.3
2017-11-01,TSLA,64.2
2017-12-01,TSLA,61.3
2018-01-01,TSLA,64.1
2018-02-01,TSLA,69.9
2018-03-01,TSLA,66.2
2018-04-01,TSLA,50.5
2018-05-01,TSLA,59.97
